,essay_set,pred_scaled,pred_unscaled,orig_scaled,orig_unscaled
6970,4,0.03534203878383992,2.1205223270303954,0.05,3.0
6711,4,0.02631186824149944,1.5787120944899664,0.016666666666666666,1.0
9297,6,0.06686076262989621,4.011645757793772,0.05,3.0
4826,3,0.031159949844776,1.86959699068656,0.03333333333333333,2.0
10903,7,0.27684586606888567,16.61075196413314,0.23333333333333334,14.0
76,1,0.1568573092628813,9.411438555772879,0.16666666666666666,10.0
12868,8,0.6144254596675133,36.865527580050795,0.5,30.0
2342,2,0.047916621664097346,2.8749972998458406,0.06666666666666667,4.0
5842,4,0.04867944459676358,2.920766675805815,0.05,3.0
10116,6,0.030558289716084878,1.8334973829650927,0.03333333333333333,2.0
10209,6,0.051306751884788816,3.078405113087329,0.05,3.0
9712,6,0.058999853959244675,3.5399912375546805,0.06666666666666667,4.0
2904,2,0.06054957372219786,3.6329744233318717,0.06666666666666667,4.0
11411,7,0.33396675345202786,20.03800520712167,0.3833333333333333,23.0
7772,5,0.04879421089796917,2.92765265387815,0.05,3.0
4365,3,0.03755564634237822,2.2533387805426934,0.05,3.0
11422,7,0.25328514466418733,15.19710867985124,0.26666666666666666,16.0
11615,7,0.26451522852556447,15.870913711533868,0.25,15.0
3336,2,0.05234693611858935,3.140816167115361,0.06666666666666667,4.0
12411,8,0.5240768814094562,31.44461288456737,0.48333333333333334,29.0
10367,6,0.050505887153885036,3.030353229233102,0.05,3.0
10594,6,0.04843465113060381,2.9060790678362287,0.05,3.0
3551,2,0.0588040404094866,3.528242424569196,0.06666666666666667,4.0
6220,4,0.023196027906090547,1.3917616743654329,0.03333333333333333,2.0
7777,5,0.028752067894118185,1.7251240736470912,0.03333333333333333,2.0
11338,7,0.23313006677935819,13.987804006761491,0.25,15.0
3574,2,0.04940762941149477,2.964457764689686,0.05,3.0
10105,6,0.03981162213440778,2.3886973280644668,0.03333333333333333,2.0
9749,6,0.052638321561203086,3.158299293672185,0.06666666666666667,4.0
10198,6,0.031064518742355596,1.8638711245413357,0.05,3.0
1099,1,0.1348457505888276,8.090745035329657,0.13333333333333333,8.0
8582,5,0.02395269500291197,1.4371617001747181,0.03333333333333333,2.0
10746,7,0.21731968395537143,13.039181037322287,0.13333333333333333,8.0
11186,7,0.30659401981817747,18.395641189090647,0.3,18.0
12742,8,0.49522682138194196,29.71360928291652,0.43333333333333335,26.0
1714,1,0.14930308082682267,8.95818484960936,0.13333333333333333,8.0
4284,3,0.037161014668893856,2.2296608801336313,0.016666666666666666,1.0
4430,3,0.057644020999809156,3.4586412599885494,0.03333333333333333,2.0
11793,7,0.3836071490815809,23.016428944894855,0.4,24.0
12825,8,0.6068253121011776,36.40951872607066,0.5666666666666667,34.0
4548,3,0.03822422528811272,2.293453517286763,0.05,3.0
12043,7,0.20437805798373587,12.262683479024153,0.23333333333333334,14.0
8597,5,0.03538714397338679,2.1232286384032073,0.05,3.0
6256,4,0.014590214739115615,0.8754128843469369,0.016666666666666666,1.0
6526,4,0.017362448493445152,1.0417469096067091,0.016666666666666666,1.0
6913,4,0.035758071339726784,2.145484280383607,0.05,3.0
5792,4,0.005593542289172055,0.3356125373503233,0.0,0.0
7206,5,0.047248175337427166,2.83489052024563,0.06666666666666667,4.0
10323,6,0.033552387078273564,2.013143224696414,0.03333333333333333,2.0
3754,3,0.02930956645499704,1.7585739872998223,0.03333333333333333,2.0
7517,5,0.03469643245949157,2.081785947569494,0.03333333333333333,2.0
8771,5,0.043986993806213494,2.6392196283728095,0.03333333333333333,2.0
9576,6,0.04788475660214724,2.8730853961288347,0.05,3.0
12248,7,0.29002154458015317,17.40129267480919,0.36666666666666664,22.0
11687,7,0.22680773390743889,13.608464034446333,0.36666666666666664,22.0
9026,6,0.017529960644270738,1.0517976386562442,0.016666666666666666,1.0
10360,6,0.01785992213397449,1.0715953280384696,0.016666666666666666,1.0
5365,4,0.037453252838096106,2.2471951702857664,0.05,3.0
2504,2,0.025394180648599215,1.5236508389159529,0.03333333333333333,2.0
12002,7,0.3042321565693089,18.253929394158536,0.3,18.0
11913,7,0.2817972112769808,16.90783267661885,0.35,21.0
4412,3,0.01574204909660501,0.9445229457963006,0.016666666666666666,1.0
6964,4,0.028743135515931405,1.7245881309558844,0.03333333333333333,2.0
10057,6,0.0682474356276362,4.094846137658172,0.06666666666666667,4.0
165,1,0.16592662384520793,9.955597430712476,0.16666666666666666,10.0
1180,1,0.1498497248791575,8.99098349274945,0.16666666666666666,10.0
5849,4,0.011011918930190354,0.6607151358114213,0.0,0.0
12527,8,0.6553377740616354,39.320266443698124,0.6166666666666667,37.0
6819,4,0.02875150249671123,1.7250901498026738,0.03333333333333333,2.0
38,1,0.15911069600135394,9.546641760081236,0.16666666666666666,10.0
106,1,0.15916212025845322,9.549727215507193,0.16666666666666666,10.0
6540,4,0.05436163938431178,3.2616983630587066,0.05,3.0
11089,7,0.22516744510734962,13.510046706440978,0.16666666666666666,10.0
844,1,0.16419608395206553,9.851765037123933,0.2,12.0
4563,3,0.019163072734758292,1.1497843640854974,0.03333333333333333,2.0
7378,5,0.026920106466956816,1.615206388017409,0.03333333333333333,2.0
10122,6,0.049294182858446736,2.957650971506804,0.05,3.0
12785,8,0.6330718956870515,37.98431374122309,0.6666666666666666,40.0
4587,3,0.03937047958163171,2.3622287748979027,0.03333333333333333,2.0
9209,6,0.04503136284626887,2.7018817707761325,0.03333333333333333,2.0
